,Data,Distancia,Tempo
0,8/2/15,1.7,
1,8/3/15,1.4,
2,8/4/15,2.1,
3,8/6/15,2.38,
4,8/7/15,2.3,
5,8/8/15,3.4,
6,8/9/15,2.5,
7,8/10/15,3.36,0:28:37
8,8/11/15,1.67,0:13:07
9,8/12/15,1.42,0:10:35
10,8/13/15,2.35,0:17:25
11,8/14/15,0.9,0:06:16
12,8/14/15,0.9,0:06:16
13,8/15/15,1.78,
14,8/16/15,0.65,
15,8/17/15,1.34,
16,8/18/15,0.65,
17,8/19/15,1.37,
18,8/19/15,1.37,
19,8/20/15,1.37,0:09:33
20,8/21/15,1.37,0:09:24
21,8/22/15,1.37,0:09:05
22,8/23/15,1.34,
23,8/24/15,3.0,
24,8/25/15,1.37,0:08:55
25,8/25/15,1.34,
26,8/26/15,1.37,0:10:30
27,8/27/15,2.5,0:25:00
28,8/29/15,5.0,0:43:27
29,9/2/15,2.0,
30,9/4/15,3.05,
31,9/5/15,3.05,0:23:50
32,9/8/15,3.05,0:23:11
33,9/10/15,1.37,0:08:57
34,9/12/15,3.05,0:23:46
35,9/16/15,3.05,0:22:48
36,9/17/15,1.5,0:11:06
37,9/19/15,1.37,0:09:45
38,9/21/15,4.03,0:30:22
39,9/28/15,1.5,0:11:18
40,9/28/15,1.5,0:11:18
41,9/29/15,3.05,0:21:55
42,10/4/15,4.63,0:40:00
43,10/4/15,1.87,
44,10/4/15,4.08,0:33:00
45,10/12/15,3.05,0:22:37
46,10/14/15,1.37,0:09:05
47,10/18/15,1.5,0:09:40
48,10/18/15,1.5,
49,10/18/15,1.37,
50,10/20/15,1.37,0:08:36
51,10/25/15,2.0,
52,10/31/15,2.01,
53,11/2/15,1.37,0:08:43
54,11/3/15,5.3,0:39:26
55,11/4/15,3.05,0:22:12
56,11/7/15,5.63,0:49:05
57,11/7/15,1.26,
58,11/7/15,1.2,
59,11/9/15,3.05,0:22:36
60,11/10/15,1.5,0:09:00
61,11/10/15,1.5,0:11:33
62,11/10/15,4.0,
63,11/23/15,3.05,0:22:35
64,11/27/15,1.0,
65,11/28/15,3.0,
66,12/9/15,2.93,0:25:00
67,12/12/15,1.37,0:09:15
68,12/13/15,5.3,0:43:36
69,12/13/15,2.21,0:18:59
70,12/15/15,6.5,0:58:43
71,12/17/15,12.0,1:39:00
72,12/19/15,3.1,0:26:15
73,12/20/15,14.8,2:15:00
74,12/22/15,3.1,0:28:00
75,12/23/15,5.63,0:51:50
76,12/24/15,3.05,0:25:08
77,12/25/15,14.8,2:20:00
78,12/26/15,5.2,
79,12/30/15,3.15,0:22:10
80,1/1/16,26.2,4:20:43
